2018-02-14 14:04:00,201 INFO  - Starting HiveMQ Server
2018-02-14 14:04:00,272 INFO  - HiveMQ version: 3.3.2
2018-02-14 14:04:00,272 INFO  - HiveMQ home directory: D:\xampp\htdocs\Git\E-Horta\hivemq-3.3.2
2018-02-14 14:04:00,378 INFO  - Log Configuration was overridden by D:\xampp\htdocs\Git\E-Horta\hivemq-3.3.2\conf\logback.xml
2018-02-14 14:04:26,469 INFO  - Loaded Plugin HiveMQ JMX Metrics Reporting Plugin - v3.0.0
2018-02-14 14:04:26,470 INFO  - Loaded Plugin HiveMQ JVM Metrics Plugin - v3.1.0
2018-02-14 14:04:26,484 INFO  - JMX Metrics Reporting started.
2018-02-14 14:04:26,493 INFO  - No user for Web UI configured. Starting with default user
2018-02-14 14:04:26,494 INFO  - Starting Web UI on address 127.0.0.1 and port 8080
2018-02-14 14:04:26,794 INFO  - Started Web UI in 300ms
2018-02-14 14:04:26,803 INFO  - Starting TCP listener on address 0.0.0.0 and port 1883
2018-02-14 14:04:26,909 INFO  - Starting Websocket listener on address 0.0.0.0 and port 8000
2018-02-14 14:04:26,913 INFO  - Started TCP Listener on address 0.0.0.0 and on port 1883
2018-02-14 14:04:26,914 INFO  - Started Websocket Listener on address 0.0.0.0 and on port 8000
2018-02-14 14:04:26,914 INFO  - Started HiveMQ in 26875ms
2018-02-14 14:04:26,916 INFO  - No valid license file found. Using evaluation license, restricted to 25 connections.
2018-02-14 15:23:29,798 INFO  - Shutting down HiveMQ. Please wait, this could take a while...
